Fecha;Arbitro;Local;Visita;GL;GV;PL;PV;RemL;RemV;RpL;RpV;RfL;RfV;RbL;RbV;CL;CV;OffL;OffV;ArqL;ArqV;FL;FV;RL;RV;AL;AV;TpL;TpV;BkL;BkV;AtaqL;AtaqV;DAtaqL;DAtaqV
22.08.2021 13:15;Ordonez E. (Per);Ayacucho;César Vallejo;2;1;34%;66%;10;17;4;8;4;4;2;5;6;4;4;3;7;2;23;14;0;0;2;2;246;484;12;10;107;139;74;102
22.08.2021 11:00;Ortega K. (Per);Cienciano;Binacional;2;0;42%;58%;10;14;6;6;4;5;0;3;6;10;4;3;6;4;15;17;0;1;2;4;295;418;11;11;82;107;62;74
21.08.2021 15:30;-;Carlos Mannucci;Melgar;1;2;43%;57%;13;15;6;6;6;4;1;5;5;5;1;3;4;5;10;15;0;0;1;2;324;450;12;13;103;141;62;118
19.08.2021 15:30;Garay L. (Per);San Martín;AD Cantolao;0;2;53%;47%;14;12;4;4;7;6;3;2;3;3;2;0;2;4;21;13;1;0;2;1;380;356;17;15;124;98;83;66
19.08.2021 11:00;Espinoza M. (Per);Alianza Atl.;Alianza Huánuco;1;2;51%;49%;11;12;7;7;2;3;2;2;5;3;2;1;5;6;15;12;0;0;2;3;-;-;-;-;110;119;74;62
18.08.2021 19:30;Menendez A. (Per);Universitario;Alianza Lima;1;2;62%;38%;15;19;3;5;10;11;2;3;1;4;0;2;3;2;15;20;0;1;1;2;488;298;9;18;129;112;81;66
18.08.2021 13:00;Huaman D. (Per);Sport Huancayo;Ayacucho;1;1;55%;45%;12;15;3;5;9;7;0;3;4;3;1;3;4;2;20;29;1;0;6;3;428;340;18;9;92;116;53;71
17.08.2021 15:30;Seminario L. (Per);Melgar;UTC;0;1;62%;38%;14;15;4;4;6;5;4;6;6;10;2;2;3;4;9;19;1;1;1;4;385;235;13;19;155;105;114;83
17.08.2021 13:15;Villegas H. (Per);César Vallejo;Cienciano;0;1;53%;47%;11;10;4;5;6;4;1;1;3;3;1;2;4;4;17;14;0;0;0;1;432;382;20;18;114;111;81;73
17.08.2021 11:00;Alarcon J. (Per);Cusco;Carlos Mannucci;2;3;60%;40%;14;10;4;4;5;6;5;0;8;5;1;1;1;2;15;10;0;0;0;1;366;248;17;17;127;89;114;61
15.08.2021 15:30;-;Sport Boys;San Martín;2;0;51%;49%;11;7;3;1;4;4;4;2;13;3;3;4;1;1;15;15;0;0;0;2;424;396;12;18;101;121;70;74
15.08.2021 11:00;-;Alianza Huánuco;AD Cantolao;0;3;52%;48%;3;12;0;5;3;4;0;3;4;4;4;1;2;0;12;11;0;0;4;3;309;293;20;15;111;112;59;44
14.08.2021 18:00;Ordonez E. (Per);Cienciano;Sport Huancayo;0;0;52%;48%;10;9;3;1;5;5;2;3;7;5;2;3;1;3;20;16;0;0;0;3;390;368;7;14;104;98;56;46
14.08.2021 15:30;Perez R. B. (Per);Alianza Lima;Dep. Municipal;1;0;51%;49%;12;10;5;2;5;5;2;3;5;8;2;1;2;4;13;13;0;0;4;4;399;371;16;11;116;140;71;92
